mean=0.896, std=0.029, quantiles=(0.810, 0.896, 0.905, 0.911, 0.927)
mean=0.896, std=0.029, quantiles=(0.810, 0.895, 0.905, 0.911, 0.926)
mean=0.896, std=0.029, quantiles=(0.810, 0.895, 0.905, 0.911, 0.926)
mean=0.896, std=0.029, quantiles=(0.810, 0.895, 0.905, 0.911, 0.926)
mean=0.895, std=0.029, quantiles=(0.810, 0.895, 0.904, 0.911, 0.925)
mean=0.895, std=0.029, quantiles=(0.810, 0.894, 0.904, 0.910, 0.925)
mean=0.895, std=0.029, quantiles=(0.810, 0.894, 0.904, 0.910, 0.925)
mean=0.895, std=0.029, quantiles=(0.810, 0.894, 0.904, 0.910, 0.925)
mean=0.895, std=0.029, quantiles=(0.810, 0.894, 0.904, 0.910, 0.925)
mean=0.894, std=0.029, quantiles=(0.810, 0.893, 0.903, 0.910, 0.924)
mean=0.894, std=0.029, quantiles=(0.810, 0.893, 0.903, 0.909, 0.924)
mean=0.894, std=0.029, quantiles=(0.810, 0.893, 0.903, 0.909, 0.924)
mean=0.894, std=0.029, quantiles=(0.810, 0.892, 0.902, 0.909, 0.924)
mean=0.893, std=0.029, quantiles=(0.810, 0.892, 0.902, 0.909, 0.924)
mean=0.893, std=0.029, quantiles=(0.810, 0.892, 0.902, 0.909, 0.924)
mean=0.893, std=0.029, quantiles=(0.810, 0.892, 0.901, 0.909, 0.923)
mean=0.893, std=0.029, quantiles=(0.810, 0.892, 0.902, 0.909, 0.923)
mean=0.893, std=0.029, quantiles=(0.810, 0.892, 0.902, 0.909, 0.923)
mean=0.893, std=0.029, quantiles=(0.810, 0.892, 0.902, 0.909, 0.923)
mean=0.893, std=0.029, quantiles=(0.810, 0.892, 0.902, 0.909, 0.924)
mean=0.893, std=0.029, quantiles=(0.810, 0.892, 0.902, 0.909, 0.923)
mean=0.893, std=0.029, quantiles=(0.810, 0.892, 0.901, 0.909, 0.922)
mean=0.893, std=0.029, quantiles=(0.810, 0.891, 0.901, 0.909, 0.924)
mean=0.893, std=0.029, quantiles=(0.810, 0.891, 0.901, 0.909, 0.923)
mean=0.892, std=0.029, quantiles=(0.810, 0.891, 0.901, 0.909, 0.923)
mean=0.892, std=0.029, quantiles=(0.810, 0.891, 0.901, 0.909, 0.922)
mean=0.892, std=0.029, quantiles=(0.810, 0.891, 0.901, 0.909, 0.922)
